               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093093,            0.034754,            0.028597,             0.18762,             0.39299,              0.2019,            0.067587,             0.05679,            0.020601,             0.02024,              0.0721,              0.0031,              0.0031
                   1,            0.062335,            0.028893,            0.022259,             0.38926,             0.85641,             0.72254,             0.32356,            0.059382,            0.014405,            0.017015,            0.042676,           0.0056763,           0.0056763
                   2,            0.059033,              0.0229,            0.021539,             0.44155,             0.79507,             0.62848,              0.2373,            0.047323,            0.011322,            0.016943,            0.012619,            0.007619,            0.007619
                   3,            0.052471,            0.019717,            0.020295,              0.6848,             0.80146,             0.84235,             0.36059,            0.036334,            0.010648,            0.016036,             0.00703,             0.00703,             0.00703
                   4,            0.047903,            0.017348,             0.01764,             0.64098,             0.86889,             0.86857,             0.52324,            0.029134,             0.01006,            0.013784,             0.00703,             0.00703,             0.00703
                   5,            0.042154,            0.015444,            0.015181,             0.76257,             0.88883,              0.8826,             0.48846,             0.02766,           0.0089321,            0.013642,             0.00604,             0.00604,             0.00604
                   6,            0.037101,             0.01472,            0.012824,             0.77768,             0.88414,             0.92284,             0.47742,             0.02977,           0.0089443,           0.0089269,             0.00505,             0.00505,             0.00505
                   7,            0.034498,            0.014784,            0.010032,             0.87433,             0.87951,             0.96699,             0.52832,            0.025468,           0.0080395,           0.0069656,             0.00406,             0.00406,             0.00406
                   8,            0.031554,            0.013932,            0.008704,             0.95248,             0.97093,             0.98975,             0.62378,             0.02408,           0.0077286,           0.0042392,             0.00307,             0.00307,             0.00307
                   9,            0.028494,            0.013451,           0.0081764,             0.89682,             0.94435,             0.98974,             0.68598,            0.021929,           0.0077055,           0.0069652,             0.00208,             0.00208,             0.00208
